# datasetName, datasetSize, codeMethod, CodeSize, Precision, Recall, FScore
Resources/names/additions.txt,200,soundex,2,0.3917132,0.70090383,0.5025609
Resources/names/subs.txt,200,soundex,2,0.40956554,0.6909776,0.5142926
Resources/names/deletions.txt,200,soundex,2,0.38967213,0.6919048,0.49856094
Resources/names/same_sounded.txt,200,soundex,2,0.5789473,0.9846492,0.72916514
Resources/names/additions.txt,200,soundex,3,0.6105347,0.5446039,0.57568777
Resources/names/subs.txt,200,soundex,3,0.6336033,0.54217356,0.58433354
Resources/names/deletions.txt,200,soundex,3,0.6911734,0.5708844,0.6252964
Resources/names/same_sounded.txt,200,soundex,3,0.84210527,0.9846492,0.9078158
Resources/names/additions.txt,200,soundex,4,0.8314726,0.46230733,0.5942215
Resources/names/subs.txt,200,soundex,4,0.825686,0.41872862,0.55566424
Resources/names/deletions.txt,200,soundex,4,0.86255103,0.43605435,0.57926625
Resources/names/same_sounded.txt,200,soundex,4,0.9605263,0.9802632,0.97029436
Resources/names/additions.txt,200,soundex,5,0.88191634,0.33694848,0.48760188
Resources/names/subs.txt,200,soundex,5,0.88304096,0.3284347,0.47879016
Resources/names/deletions.txt,200,soundex,5,0.89523804,0.3459863,0.49908805
Resources/names/same_sounded.txt,200,soundex,5,0.9868421,0.9802632,0.9835416
Resources/names/additions.txt,200,soundex,6,0.9868421,0.20106328,0.33406317
Resources/names/subs.txt,200,soundex,6,0.9736842,0.19029391,0.3183671
Resources/names/deletions.txt,200,soundex,6,0.9523809,0.26707482,0.4171647
Resources/names/same_sounded.txt,200,soundex,6,0.9868421,0.9802632,0.9835416
Resources/names/additions.txt,200,soundex,7,0.9824562,0.17044127,0.29048738
Resources/names/subs.txt,200,soundex,7,0.9736842,0.15488723,0.26726043
Resources/names/deletions.txt,200,soundex,7,0.9523809,0.2487075,0.39441603
Resources/names/same_sounded.txt,200,soundex,7,0.9868421,0.9802632,0.9835416
Resources/names/additions.txt,200,soundex,8,0.9824562,0.1651781,0.28280833
Resources/names/subs.txt,200,soundex,8,0.9736842,0.14962406,0.25938842
Resources/names/deletions.txt,200,soundex,8,0.9523809,0.24462588,0.38926598
Resources/names/same_sounded.txt,200,soundex,8,0.9868421,0.9802632,0.9835416
Resources/names/additions.txt,200,soundex,9,0.9824562,0.1651781,0.28280833
Resources/names/subs.txt,200,soundex,9,0.9736842,0.14962406,0.25938842
Resources/names/deletions.txt,200,soundex,9,0.9523809,0.24462588,0.38926598
Resources/names/same_sounded.txt,200,soundex,9,0.9868421,0.9802632,0.9835416
Resources/names/additions.txt,200,soundex,10,0.9824562,0.1651781,0.28280833
Resources/names/subs.txt,200,soundex,10,0.9736842,0.14962406,0.25938842
Resources/names/deletions.txt,200,soundex,10,0.9523809,0.24462588,0.38926598
Resources/names/same_sounded.txt,200,soundex,10,0.9868421,0.9802632,0.9835416
