αβγό,αυγό,αυγώ,αββγό
αγγίζω,αγγίζο,αγκίζω,αγκίζο
αλλαντικά,αλαντικά,αλαντοικά,αλλαντοικά
αλλεπάλληλος,αλεπάληλος,αλλεπάληλος,αλεπάλληλος
αίτημα,έτοιμα,έτιμα,έτειμα,
ακόλλητος,ακώλυτος,ακόλητος,ακωλείτως
αύξων,αύξον,άφξον,αφξων
αυτιά,αφτιά,αφτοιά,αφφτιά
άφιλος,άφυλλος,άφφειλος,άφειλλος
Βαγγέλης,Βαγκέλης,Βαγκαίλης,Βαγγέλλης
βάζο,βάζω,βάζζω,βαζζζω
βόλος,Βόλος,βολός,βώλως
βύσσινο,βύσινο,βύσυνο,βύσιννο
Γιάννης,Γιάνης,Γιάνννης,Γιιάνης
γκαρίζω,γγαρίζω,γκαρίζο,γγαρρίζω
γλείφω,γλύφο,γλείφω,γλοίφω
δανεικός,δανικός,δανικκός,δανικώς
διάλλειμα,διάλυμα,διάλοιμα,διάλειμα
δίλημμα,δίλιμα,δίλημα,δίλλημα
δήμος, δειμος,δίμος,δήμμος
δίστιχο,δύστυχο,δίστειχο,δυστοιχο
δικλίδα,δεικλείδα,δεικλοίδα,δικλοίδα
δροσόφυλλα,δροσόφιλα,δροσόφυλα,δροσώφυλλα
δωσίλογος,δοσίλογος,δωσοίλογος,δωσσίλογος
έγγειος,έγκυος,έγκειος,έγκοιος
έκκληση,έκλυση,έκλισι,έκκλισι
έξαλλος,έξαλος,έξξαλος,έξαλοος
εξάρτηση,εξάρτιση,εξάρτυση,εξαάρτηση
ετοιμολογία,ετυμολογία,αιτειμολογεία,ετοιμμολογία
εύδοξος,έβδοξος,ευδωξος,εύδωξοος
ευφορία,εφορία,εφορεία,εφωρία
εύηχα,έβηχα,έβοιχα,έβειχα
Ηράκλειο,Ηράκλιο,Ηρράκλειο,Ηρράκλοιο
θαλάμη,θαλάμι,θαλλάμη,θαλλάμμη
θάλασσα,θάλλασα,θάλασα,θάλλασσα
θαύμα,θάβμα,θάββμα,θαββμα
θύρα,θήρα,θείρα,θοίρα
ίλη,ύλη,είλη,οίλλοι
ιός,υιός,υειος,υυος
ιππότης,ιπότης,ιπόττης,ιππόττης
Ιωνικός,Ιονικός,Ιωννικός,Ιοννικός
καινός, κενός ,καιννός,κενώς
κάλλος,κάλος,κάλλλος,κάλοςς
καλύτερα,καλλίτερα,καλύττερρα,καλείτερα
κατεβαίνω,κατεβένω,κατεβένο,καταιβαίνω
κερί, καιροί,καιρεί,καιροί
κήτος,κύτος,κείτος,κείτως
κινώ,κοινό,κεινώ,κοινώ
κλίνει,κλείνει,κλίνη,κλοίνει
κλήση,κλίση,κλείσει,κλοίσει
κλήμα,κλίμα,κλείμα,κλοίμα
κόλλημα,κώλυμα,κώλλυμμα,κώλιμα
κόμη,κώμη,κόμοι,κόμμη
κόμμα, κώμα,κόμα,κώμμα
Κρητικός,κριτικός,κριττικός,κρριτικός
κρύσταλλο,κρύσταλο,κρίσταλλο,κρίσταλο
κυνήγι,κηνύγι,κυνήγει,κεινοιγει
κύτταρο,κύταρο,κύταρρο,κείτταρο
λακκούβα,λακούβα,λακούββα,λακκούββα
λήμμα,λύμα,λίμα,λοίμμα
λιανοτράγουδα,λυανοτράγουδα,λιαννοτράγουδα,λειανοτράγουδα
λιμός,λοιμός,λειμώς,λυμώς
λήθη,λίθοι,λήθοι,λίθι
λίπη,λύπη,λείπει,λίπι
λίρα,λύρα,λείρα,λοίρα
λιτός,λυτός,λειτός,λοιτός
μέλι,μέλη,μέλλει,μέλοι
μέρη,Μαίρη,Μαίροι,Μέρι
Μήλος,μύλος,μείλος,μείλως
μήτρα,μίτρα,μοίτρα,μείτρα
μοιχός,μυχός,μειχώς,μοιχώς
μηλιά,μιλιά,μηληά,μιλειά
νάρκισσος,νάρκισος,νάρρκισος,νάρκοισος
νίκη,νοίκι,νοίκοι,νείκει
νότα,νώτα,νόττα,νοότα,
ξέρω,κσαίρω,ξέρο,ξέερω
ξηρός,ξυρός,ξειρός,ξηρρός
ξίδι,ξύδι,ξίδυ,ξύδυ
όμως,ώμος,ομός,ομμός
όρος,ωρός,ωρώς,όρρος
πάλι,πάλλη,πάλλει,πάλη
παλίρροια,παλίροια,παλίρια,παλείρεια
παράλειψη,παράληψη,παράλιψη,παράλειψψη
παρεκκλήσι,παρεκλήσι,παρεκλίσι,παρεκλείσι
πάσσαλος,πάσαλος,πάσαλλος,πάσσαλλος
περιττός,περιτός,περριτός,περιτώς
πήρα,πείρα,πύρα,πύρρα
πλημμέλημα,πλημέλημα,πλιμέλλιμα,πλειμέλλειμμα
πλημμύρα,πλημύρα,πλημίρρα,πλοιμοιρα
πυθών,πείθων,πείθον,πυθώνν
πολύ,πολλοί,πολλή,πολί,
πιάνο,πιάνω,ποιάνω,πιάννω
ποιά,πιά,πειά,πιάα
προσάναμμα,προσάναμα,προσάνναμα,πρωσάναμμα
πρωτόκολλο,πρωτόκολο,προτοκολο,προτωκωλλω
ρήμα,ρίμα,ρείμα,ροίμα
σατυρικός,σατιρικός,σατειροικός,σατυρρικος
σήκω,σύκο,σείκω,σήκκω
σκηνή,σκοινί,σκεινει,σκηννή
σορός,σωρός,σωρώς,σορρός
στίχος,στοίχος,στίχχος,στείχος
στήλη,στύλοι,σττύλη,στείλει
συλλαλητήριο,συλαλητήριο,σιλαλιτίριο,συλαλλητήρειο
σύρραξη,σύραξη,σίραξι,σείραξει
ταχύρρυθμος,ταχύρυθμος,ταχίριθμος,ταχίριθμμος
τείχος,τοίχος,τίχος,τείχως
τόπι,τόποι,τώπι,τόππι
τριφύλλι,τριφύλι,τριφφύλι,τροιφοιλει
τύχη,τοίχοι,τείχη,τύχχη
τύραννος,τύρανος,τύρρανος,τοίρανος
τυρί,τηρεί,τοιρεί,τυροί
υδρορροή,υδροροή,υδρορροή,ιδροροεί
Υμηττός,Υμητός,Υμμητός,Ιμιτώς
φελλός,φελός,φαιλός,φελλώς
φύλλο,φίλο,φύλο,φύλοο
φυτό,φοιτώ,φυττό,φοιττώ
φυλή,φιλί,φειλεί,φοιλοί
φοβήθηκε,φωβήθηκε,φοβείθηκε,φοβήθεικαι
χήρος,χοίρος,χύρος,χίρος
χορικός,χωρικός,χορικώς
ψηλός,ψιλός,ψειλώς,ψιλλός
χοίρων,χήρων,χείρον,χήρον
χρεοκοπία,χρεωκοπία,χρεοκοποία,χρεωκοποία,
ωβελίας,οβελίας,ωβελείας,ωβελλίας
ωράριο,οράριο,ωράρειο,οράροιο
